epoch;acc;loss;val_acc;val_loss
0;0.3357518;1.0997941274228857;0.34259259700775146;1.0984238267620339
1;0.3335752;1.0989513214782598;0.33043116331100464;1.0986976438444447
2;0.3364255;1.0987898113660106;0.33063846826553345;1.0991056981321987
3;0.33181316;1.0989024910175913;0.3406578302383423;1.0986151587178918
4;0.33032754;1.098872591366074;0.33036208152770996;1.0989936017871496
5;0.33031026;1.0988642479081454;0.33015477657318115;1.0989130874030033
6;0.33129492;1.098873821354377;0.32987838983535767;1.0990978380620908
7;0.33314332;1.0987763280443323;0.3300856947898865;1.0987346931723616
8;0.33291873;1.098765447906709;0.32780542969703674;1.099341173175951
9;0.33447346;1.098802574485491;0.3270453214645386;1.0994814705080984
