epoch,acc,loss,val_acc,val_loss
0,0.6760204,2.1244832350283254,0.68813556432724,1.741109045885377
1,0.795068,1.3594749154789108,0.5288135409355164,2.030463038864782
2,0.8792517,0.9620612253035817,0.7627118825912476,1.1172445618500144
3,0.8903061,0.8255103043705022,0.8271186351776123,0.963717739460832
4,0.89710885,0.7954168894207801,0.7627118825912476,1.1095949876106392
5,0.9438776,0.5350798121368399,0.8881356120109558,0.753761574878531
6,0.9685374,0.4033654157300385,0.9355932474136353,0.45173237687450346
7,0.9583333,0.5540921374597922,0.9762712121009827,0.37775864742570003
8,0.9702381,0.38094857613853855,0.9593220353126526,0.4370493863598775
9,0.9566327,0.4744176068628321,0.9491525292396545,0.5081721443240925
