epoch,acc,loss,val_acc,val_loss
0,0.38860545,51.83907454318943,0.39661017060279846,1.1402350007477453
1,0.4090136,1.1548965250959202,0.39661017060279846,1.0961559899782731
2,0.39965987,1.0888893023437383,0.39661017060279846,1.0897649061881889
3,0.41411564,1.085953608459356,0.39661017060279846,1.0924957546137146
4,0.414966,1.0864570949758803,0.39661017060279846,1.0904579970796229
5,0.41326532,1.0872532548953076,0.39661017060279846,1.0890451134261439
6,0.41411564,1.0868723537443445,0.39661017060279846,1.0888132564092086
7,0.41411564,1.0857618194149465,0.39661017060279846,1.0895383883330783
8,0.41411564,1.0857307119231645,0.39661017060279846,1.0908035949125128
9,0.41411564,1.0850128471648612,0.39661017060279846,1.09066824286671
